?cls	?xref
<http://purl.obolibrary.org/obo/GO_0005737>	"Wikipedia:Cytoplasm"
<http://purl.obolibrary.org/obo/GO_0005737>	"MESH:D003593"
<http://purl.obolibrary.org/obo/GO_0005737>	"NCIt:C13226"
<http://purl.obolibrary.org/obo/GO_0005886>	"NIF_Subcellular:sao1663586795"
<http://purl.obolibrary.org/obo/GO_0005886>	"Wikipedia:Cell_membrane"
<http://purl.obolibrary.org/obo/CHEBI_15986>	"KEGG:C00419"
<http://purl.obolibrary.org/obo/GO_0043226>	"Wikipedia:Organelle"
<http://purl.obolibrary.org/obo/GO_0043226>	"NIF_Subcellular:sao1539965131"
<http://purl.obolibrary.org/obo/GO_0006413>	"Reactome:R-HSA-72613"
<http://purl.obolibrary.org/obo/GO_0019538>	"Wikipedia:Protein_metabolism"
<http://purl.obolibrary.org/obo/GO_0019538>	"Reactome:R-HSA-392499"
<http://purl.obolibrary.org/obo/GO_0008150>	"Wikipedia:Biological_process"
<http://purl.obolibrary.org/obo/GO_0008150>	"NCIt:C17828"
<http://purl.obolibrary.org/obo/GO_0008150>	"GO:0008150"
<http://purl.obolibrary.org/obo/GO_0008150>	"MESH:D055705"
<http://purl.obolibrary.org/obo/GO_0006412>	"Wikipedia:Translation_(genetics)"
<http://purl.obolibrary.org/obo/GO_0006412>	"Reactome:R-HSA-72766"
<http://purl.obolibrary.org/obo/BFO_0000019>	"SNOMEDCT:263496004"
<http://purl.obolibrary.org/obo/BFO_0000019>	"NCIt:C25283"
<http://purl.obolibrary.org/obo/GO_0016070>	"Reactome:R-HSA-8953854"
<http://purl.obolibrary.org/obo/OBI_0100026>	"SNOMEDCT:410607006"
<http://purl.obolibrary.org/obo/OBI_0100026>	"NIFSTD:birnlex_376"
<http://purl.obolibrary.org/obo/OBI_0100026>	"NCIt:C14250"
<http://purl.obolibrary.org/obo/OBI_0100026>	"MO:508"
<http://purl.obolibrary.org/obo/GO_0019752>	"Reactome:R-HSA-389661"
<http://purl.obolibrary.org/obo/UBERON_0000105>	"FMA:24120"
<http://purl.obolibrary.org/obo/UBERON_0000105>	"EFO:0000399"
<http://purl.obolibrary.org/obo/UBERON_0000105>	"XAO:1000000"
<http://purl.obolibrary.org/obo/UBERON_0000105>	"ZFS:0100000"
