?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CHEBI_29340>	<http://www.w3.org/2000/01/rdf-schema#label>	"hydridonitrate(2-)"	
<http://purl.obolibrary.org/obo/CHEBI_36339>	<http://www.w3.org/2000/01/rdf-schema#label>	"baryon"	
<http://purl.obolibrary.org/obo/CHEBI_33316>	<http://www.w3.org/2000/01/rdf-schema#label>	"helium(2+)"	
<http://purl.obolibrary.org/obo/CHEBI_17891>	<http://www.w3.org/2000/01/rdf-schema#label>	"donor"	
<http://purl.obolibrary.org/obo/CHEBI_28616>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbamic acid"	
<http://purl.obolibrary.org/obo/CHEBI_25696>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic anion"	
<http://purl.obolibrary.org/obo/CHEBI_33832>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic cyclic compound"	
<http://purl.obolibrary.org/obo/CHEBI_79389>	<http://www.w3.org/2000/01/rdf-schema#label>	"monovalent inorganic anion"	
<http://purl.obolibrary.org/obo/CHEBI_35352>	<http://www.w3.org/2000/01/rdf-schema#label>	"organonitrogen compound"	
<http://purl.obolibrary.org/obo/CHEBI_36348>	<http://www.w3.org/2000/01/rdf-schema#label>	"pi meson"	
<http://purl.obolibrary.org/obo/CHEBI_43176>	<http://www.w3.org/2000/01/rdf-schema#label>	"hydroxy group"	
<http://purl.obolibrary.org/obo/CHEBI_138675>	<http://www.w3.org/2000/01/rdf-schema#label>	"gas molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_28938>	<http://www.w3.org/2000/01/rdf-schema#label>	"ammonium"	
<http://purl.obolibrary.org/obo/CHEBI_33893>	<http://www.w3.org/2000/01/rdf-schema#label>	"reagent"	
<http://purl.obolibrary.org/obo/CHEBI_75763>	<http://www.w3.org/2000/01/rdf-schema#label>	"eukaryotic metabolite"	
<http://purl.obolibrary.org/obo/CHEBI_33608>	<http://www.w3.org/2000/01/rdf-schema#label>	"hydrogen molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_33303>	<http://www.w3.org/2000/01/rdf-schema#label>	"chalcogen"	
<http://purl.obolibrary.org/obo/CHEBI_50860>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_46883>	<http://www.w3.org/2000/01/rdf-schema#label>	"carboxy group"	
<http://purl.obolibrary.org/obo/CHEBI_15339>	<http://www.w3.org/2000/01/rdf-schema#label>	"acceptor"	
<http://purl.obolibrary.org/obo/CHEBI_78295>	<http://www.w3.org/2000/01/rdf-schema#label>	"food component"	
<http://purl.obolibrary.org/obo/CHEBI_32988>	<http://www.w3.org/2000/01/rdf-schema#label>	"amide"	
<http://purl.obolibrary.org/obo/CHEBI_64769>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic cationic group"	
<http://purl.obolibrary.org/obo/CHEBI_33702>	<http://www.w3.org/2000/01/rdf-schema#label>	"polyatomic cation"	
<http://purl.obolibrary.org/obo/CHEBI_30216>	<http://www.w3.org/2000/01/rdf-schema#label>	"alpha-particle"	
<http://purl.obolibrary.org/obo/CHEBI_39142>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bronsted base"	
<http://purl.obolibrary.org/obo/CHEBI_35106>	<http://www.w3.org/2000/01/rdf-schema#label>	"nitrogen hydride"	
